City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
302,Ust-Ilimsk,RU,2/10/2022 15:47,58,102.66,25.11,92,47,8.08
303,Smithers,CA,2/10/2022 15:45,54.78,-127.17,30.2,92,90,1.79
304,Kalabo,ZM,2/10/2022 15:47,-14.97,22.68,85.84,33,64,4.09
305,Morondava,MG,2/10/2022 15:47,-20.28,44.28,80.6,78,22,12.21
306,Matara,LK,2/10/2022 15:47,5.95,80.54,78.58,84,28,6.51
307,Chizhou,CN,2/10/2022 15:47,30.66,117.48,58.95,77,26,6.71
308,Necochea,AR,2/10/2022 15:47,-38.55,-58.74,59,55,1,8.01
309,Tigzirt,DZ,2/10/2022 15:47,36.89,4.12,67.96,64,0,7.36
310,Nivala,FI,2/10/2022 15:47,63.92,24.97,45,93,100,5.99
311,Dodge City,US,2/10/2022 15:45,37.75,-100.02,39.2,80,1,14.99
312,Pacific Grove,US,2/10/2022 15:47,36.62,-121.92,48.2,45,1,4.7
313,Kruisfontein,ZA,2/10/2022 15:47,-34,24.73,61,82,100,5.99
314,Kenai,US,2/10/2022 15:47,60.55,-151.26,19.4,85,90,3.36
315,Katangli,RU,2/10/2022 15:47,51.71,143.23,35.1,90,50,7.63
316,Nhulunbuy,AU,2/10/2022 15:47,-12.23,136.77,75.2,83,81,4.76
317,Nata,PA,2/10/2022 15:47,8.33,-80.52,84.2,74,40,4.7
318,Niono,ML,2/10/2022 15:47,14.25,-5.99,99.05,8,26,10.71
319,Luderitz,NA,2/10/2022 15:47,-26.65,15.16,65.97,60,49,31.25
320,Guerrero Negro,MX,2/10/2022 15:47,27.98,-114.06,70.07,33,60,3.89
